cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_y_mse_loss,train_y_weight,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
3597.858667855151,12.0,256.4903574222699,560,9.999999747378752e-05,2.0459001064300537,0.949999988079071,228.8315887451172,4537.759765625,0.05000000074505806,0.7286406755447388,1.658503532409668,3.3785691261291504,146.7715606689453,53.727210998535156,2903.91943359375
3852.982406907715,13.0,255.1237390525639,600,9.999999747378752e-05,1.961507797241211,0.949999988079071,222.0135955810547,4403.0029296875,0.05000000074505806,0.7164055705070496,1.6005439758300781,1.692914605140686,22.715545654296875,20.24658203125,423.9006042480469
4109.6958237327635,14.0,256.7134168250486,640,9.999999747378752e-05,1.9059619903564453,0.949999988079071,214.53939819335938,4254.57470703125,0.05000000074505806,0.6951281428337097,1.5314210653305054,0.7839056849479675,2.098252296447754,2.4706788063049316,12.86804485321045
4367.310497043654,15.0,257.6146733108908,680,9.999999747378752e-05,1.8111542463302612,0.949999988079071,127.34295654296875,2512.447021484375,0.05000000074505806,0.6716061234474182,1.4033126831054688,1.160089373588562,7.438598155975342,10.441271781921387,122.1090316772461
4622.304390391335,16.0,254.99389334768057,720,9.999999747378752e-05,1.6743340492248535,0.949999988079071,106.25818634033203,2093.351318359375,0.05000000074505806,0.6168127655982971,1.2574710845947266,1.483771800994873,18.466522216796875,17.95599365234375,345.4384460449219
4879.797499425709,17.0,257.49310903437436,760,9.999999747378752e-05,1.563449501991272,0.949999988079071,136.75881958007812,2705.470703125,0.05000000074505806,0.6120609045028687,1.2139836549758911,4.746200084686279,348.7261657714844,83.29483795166016,6951.4580078125
5137.981808755547,18.0,258.18430932983756,800,9.999999747378752e-05,1.5352157354354858,0.949999988079071,131.02418518066406,2591.314453125,0.05000000074505806,0.6181278228759766,1.2257919311523438,1.2957614660263062,11.783926963806152,14.170801162719727,212.3885040283203
5393.093538491987,19.0,255.11172973643988,840,9.999999747378752e-05,1.525814414024353,0.949999988079071,122.01362609863281,2411.281982421875,0.05000000074505806,0.618527352809906,1.2293728590011597,2.0559890270233154,44.909454345703125,29.367761611938477,874.8309936523438
5646.702975674532,20.0,253.60943718254566,880,9.999999747378752e-05,1.524412751197815,0.949999988079071,109.56790161132812,2162.39404296875,0.05000000074505806,0.6150985360145569,1.2040529251098633,3.8989944458007812,221.46861267089844,66.29302215576172,4406.4951171875
5901.133527069353,21.0,254.4305513948202,920,9.999999747378752e-05,1.5042853355407715,0.949999988079071,109.2188720703125,2155.79638671875,0.05000000074505806,0.6175284385681152,1.2031118869781494,2.06811785697937,45.59785842895508,29.629322052001953,889.0980834960938
6155.244641284458,22.0,254.11111421510577,960,9.999999747378752e-05,1.4853174686431885,0.949999988079071,104.07291412353516,2053.237060546875,0.05000000074505806,0.616736888885498,1.1861531734466553,2.7932164669036865,99.13611602783203,44.14632797241211,1960.1854248046875
6410.633258081041,23.0,255.38861679658294,1000,9.999999747378752e-05,1.4766913652420044,0.949999988079071,106.32908630371094,2098.5244140625,0.05000000074505806,0.6171806454658508,1.1693862676620483,3.1825382709503174,136.53408813476562,51.9243278503418,2708.46337890625
6667.746886977926,24.0,257.1136288968846,1040,9.999999747378752e-05,1.4566998481750488,0.949999988079071,110.75775146484375,2187.477783203125,0.05000000074505806,0.6091659069061279,1.1583259105682373,2.7374565601348877,94.88249206542969,43.17497634887695,1875.6416015625
6924.4062463464215,25.0,256.65935936849564,1080,9.999999747378752e-05,1.4388227462768555,0.949999988079071,111.15283203125,2195.718994140625,0.05000000074505806,0.6066253781318665,1.1538580656051636,3.4906845092773438,171.5001220703125,58.28780746459961,3408.078857421875
7181.907999072224,26.0,257.50175272580236,1120,9.999999747378752e-05,1.4363270998001099,0.949999988079071,127.68955993652344,2526.5009765625,0.05000000074505806,0.5986671447753906,1.1188992261886597,2.4107627868652344,69.4766845703125,36.840576171875,1368.2745361328125
7438.726936320774,27.0,256.81893724855036,1160,9.999999747378752e-05,1.3966128826141357,0.949999988079071,133.40191650390625,2641.5029296875,0.05000000074505806,0.5945286750793457,1.1058435440063477,3.415123701095581,164.06231689453125,57.00643539428711,3260.2353515625
7696.44171982538,28.0,257.7147835046053,1200,9.999999747378752e-05,1.3700575828552246,0.949999988079071,134.00694274902344,2654.10791015625,0.05000000074505806,0.5820220708847046,1.0712202787399292,4.078047275543213,250.06130981445312,70.50251770019531,4980.87255859375
7952.121144726872,29.0,255.6794249014929,1240,9.999999747378752e-05,1.3118940591812134,0.949999988079071,152.8641815185547,3032.35791015625,0.05000000074505806,0.5614436268806458,1.0058424472808838,2.0603253841400146,48.8023796081543,30.53907585144043,956.9365234375
8209.106186856516,30.0,256.98504212964326,1280,9.999999747378752e-05,1.2440314292907715,0.25,1532.7664794921875,2043.2740478515625,0.75,0.5620483756065369,0.9939306378364563,42.32109069824219,2382.205810546875,56.24077224731445,3175.943115234375
8464.974541203119,31.0,255.86835434660316,1320,7.999999797903001e-05,1.2535682916641235,0.25,4318.646484375,5757.77734375,0.75,0.5678597688674927,1.015975832939148,2.7170963287353516,12.633679389953613,3.4335083961486816,16.50624656677246
8718.066001639701,32.0,253.09146043658257,1360,7.999999797903001e-05,1.2818514108657837,0.25,982.8502807617188,1310.0399169921875,0.75,0.6482241749763489,1.143018126487732,42.3189697265625,2378.582763671875,56.2092170715332,3171.0625
8973.283038272522,33.0,255.21703663282096,1400,7.999999797903001e-05,1.4071210622787476,0.25,2862.05517578125,3815.6044921875,0.75,0.684402346611023,1.198325753211975,29.420637130737305,1151.9072265625,38.9993782043457,1535.476806640625
9230.537570878863,34.0,257.25453260634094,1440,7.999999797903001e-05,1.3624666929244995,0.25,1131.4775390625,1508.1826171875,0.75,0.6037434339523315,1.070988416671753,7.162181854248047,72.45135498046875,9.34832763671875,96.24480438232422
9483.673151608557,35.0,253.13558072969317,1480,7.999999797903001e-05,1.3259227275848389,0.25,782.2489624023438,1042.556640625,0.75,0.5946982502937317,1.0592879056930542,38.475440979003906,1966.2818603515625,51.10235595703125,2621.356201171875
9741.549872474745,36.0,257.8767208661884,1520,7.999999797903001e-05,1.3169249296188354,0.25,894.9003295898438,1192.7615966796875,0.75,0.603509247303009,1.0863739252090454,33.9674186706543,1532.2010498046875,45.088722229003906,2042.572509765625
9998.563597087748,37.0,257.01372461300343,1560,7.999999797903001e-05,1.3464735746383667,0.25,809.0707397460938,1078.312255859375,0.75,0.604653000831604,1.0827343463897705,1.9192479848861694,8.864636421203613,2.3574464321136475,11.458603858947754
10255.993267544545,38.0,257.4296704567969,1600,7.999999797903001e-05,1.344075083732605,0.25,877.563232421875,1169.63623046875,0.75,0.600162148475647,1.0756083726882935,30.75420570373535,1257.29833984375,40.8055534362793,1676.039306640625
10510.873842738569,39.0,254.88057519402355,1640,7.999999797903001e-05,1.324476957321167,0.25,929.38623046875,1238.740234375,0.75,0.6024976968765259,1.0716646909713745,2.9368855953216553,15.926965713500977,3.715014696121216,20.87873077392578
10766.7556671286,40.0,255.8818243900314,1680,7.999999797903001e-05,1.4228324890136719,0.25,1103.21337890625,1470.476806640625,0.75,0.7279486060142517,1.307865023612976,9.042360305786133,148.79063415527344,11.813830375671387,197.95156860351562
11023.368757214397,41.0,256.613090085797,1720,7.999999797903001e-05,1.484800100326538,0.25,1133.099853515625,1510.304931640625,0.75,0.6735464930534363,1.206943154335022,39.799476623535156,2218.51416015625,52.84145736694336,2957.616455078125
11277.59963202104,42.0,254.23087480664253,1760,7.999999797903001e-05,1.4741894006729126,0.25,962.6810302734375,1283.0833740234375,0.75,0.6024364829063416,1.0788452625274658,32.912635803222656,1439.5367431640625,43.68270492553711,1919.022705078125
11534.367477695458,43.0,256.7678456744179,1800,7.999999797903001e-05,1.3227797746658325,0.25,808.3717651367188,1077.38818359375,0.75,0.5982499122619629,1.0645465850830078,1.7845935821533203,7.9558424949646,2.180041551589966,10.25294017791748
11789.6901863385,44.0,255.32270864304155,1840,7.999999797903001e-05,1.3383358716964722,0.25,1008.9148559570312,1344.7735595703125,0.75,0.6460742950439453,1.1690689325332642,13.201805114746094,242.13621520996094,17.387048721313477,322.4585876464844
12046.862224245444,45.0,257.17203790694475,1880,7.999999797903001e-05,1.4301649332046509,0.25,992.8853149414062,1323.370361328125,0.75,0.6507267355918884,1.1615477800369263,37.04523468017578,1822.3345947265625,49.176734924316406,2429.392333984375
12304.528116666712,46.0,257.6658924212679,1920,7.999999797903001e-05,1.3937304019927979,0.25,1031.611572265625,1375.0174560546875,0.75,0.5964570045471191,1.0559524297714233,38.055564880371094,1930.6148681640625,50.54193115234375,2573.80126953125
12562.40562544018,47.0,257.87750877346843,1960,6.399999983841553e-05,1.3134340047836304,0.25,1646.4835205078125,2194.873779296875,0.75,0.6199197769165039,1.1011717319488525,5.452249050140381,44.11086654663086,7.063024997711182,58.44742965698242
12820.235346247442,48.0,257.82972080726177,2000,6.399999983841553e-05,1.5149266719818115,0.25,2122.47900390625,2829.467041015625,0.75,0.9316504597663879,1.9154325723648071,6.215883731842041,78.45830535888672,7.977294921875,103.97259521484375
