cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_loss_momentum_per_molecule,train_loss_momentum_per_molecule_weighted,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_total_with_momentum,train_y_mse_loss,train_y_weight,val_checkpoint_score,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
6308.996534589678,10.0,528.8635166967288,480,9.999999747378752e-05,114.15839385986328,1.1415821313858032,7.677978515625,0.949999988079071,176.721923828125,177.8634033203125,3388.556884765625,0.05000000074505806,60.3975830078125,1.32338547706604,5.6478190422058105,2.889503240585327,60.3975830078125,32.64574432373047,1100.64306640625
6837.075206284411,11.0,528.0786716947332,520,9.999999747378752e-05,102.01481628417969,1.0201482772827148,5.847219467163086,0.949999988079071,542.7841796875,543.80419921875,10744.5869140625,0.05000000074505806,1625.378662109375,1.2499855756759644,5.1509575843811035,10.183547019958496,1625.3785400390625,179.92120361328125,32409.703125
7366.544858030975,12.0,529.4696517465636,560,9.999999747378752e-05,99.37359619140625,0.9937359690666199,5.539957046508789,0.949999988079071,366.4060363769531,367.3994445800781,7222.86181640625,0.05000000074505806,270.7193908691406,1.2096480131149292,4.956758499145508,4.786402225494385,270.7193603515625,72.7447280883789,5320.208984375
7894.642995071597,13.0,528.0981370406225,600,9.999999747378752e-05,92.7644271850586,0.9276449680328369,4.908905506134033,0.949999988079071,211.14149475097656,212.06903076171875,4129.560546875,0.05000000074505806,945.745849609375,1.085914969444275,4.341114044189453,7.8895769119262695,945.745849609375,137.15914916992188,18832.435546875
8417.486936612055,14.0,522.8439415404573,640,9.999999747378752e-05,102.08058166503906,1.0208063125610352,6.797780990600586,0.949999988079071,280.8587341308594,281.87957763671875,5488.01708984375,0.05000000074505806,11.41541862487793,1.1575257778167725,4.0967116355896,1.5625653266906738,11.415417671203613,9.258316040039062,150.47085571289062
8949.236429542303,15.0,531.7494929302484,680,9.999999747378752e-05,144.53440856933594,1.445344090461731,11.532590866088867,0.949999988079071,507.1201477050781,508.5651550292969,9923.2841796875,0.05000000074505806,41.791534423828125,2.1863083839416504,8.576627731323242,3.241119861602783,41.791534423828125,23.28253936767578,672.874755859375
9479.925357540138,16.0,530.688927997835,720,9.999999747378752e-05,88.35668182373047,0.8835670351982117,5.31451940536499,0.949999988079071,161.10440063476562,161.98797607421875,3121.11181640625,0.05000000074505806,124.81301879882812,1.0672259330749512,3.848498821258545,3.461834192276001,124.81302642822266,48.959388732910156,2423.138916015625
10003.136822076514,17.0,523.2114645363763,760,9.999999747378752e-05,82.03861236572266,0.8203858733177185,3.6784074306488037,0.949999988079071,148.47640991210938,149.2967987060547,2899.63818359375,0.05000000074505806,29.878313064575195,1.000415325164795,3.6099693775177,2.070796489715576,29.878314971923828,22.408042907714844,528.9768676757812
10533.947716752067,18.0,530.8108946755528,800,9.999999747378752e-05,84.25326538085938,0.8425324559211731,3.6084563732147217,0.949999988079071,175.1010284423828,175.94357299804688,3433.4599609375,0.05000000074505806,11.227653503417969,0.9417192339897156,3.3579494953155518,1.4918092489242554,11.227653503417969,11.94351863861084,160.7520294189453
11050.90500582289,19.0,516.9572890708223,840,9.999999747378752e-05,73.20045471191406,0.7320045828819275,3.129596471786499,0.949999988079071,88.81879425048828,89.55082702636719,1716.9134521484375,0.05000000074505806,35.456634521484375,0.8938064575195312,3.0115089416503906,2.1100382804870605,35.45663070678711,25.218442916870117,651.9140014648438
11577.834866834804,20.0,526.9298610119149,880,9.999999747378752e-05,69.56829833984375,0.6956825852394104,2.7321202754974365,0.949999988079071,122.26606750488281,122.96170043945312,2393.4111328125,0.05000000074505806,385.208740234375,0.834597647190094,2.7921299934387207,5.162281513214111,385.2087097167969,87.38827514648438,7651.1240234375
