cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_y_mse_loss,train_y_weight,val_checkpoint_score,val_checkpoint_score_raw,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
5373.778054095805,19.0,255.64147040247917,840,9.999999747378752e-05,2.161611795425415,0.949999988079071,119.85057067871094,2355.94091796875,0.05000000074505806,inf,243.43470764160156,0.816595196723938,1.9320271015167236,4.2426605224609375,243.43472290039062,69.33790588378906,4831.98583984375
5631.303477237001,20.0,257.52542314119637,880,9.999999747378752e-05,1.989377498626709,0.949999988079071,116.40924835205078,2290.38671875,0.05000000074505806,inf,13.093143463134766,0.8192518353462219,1.920653223991394,1.506156086921692,13.093144416809082,14.557336807250977,225.37046813964844
5888.228541664779,21.0,256.9250644277781,920,9.999999747378752e-05,1.9142459630966187,0.949999988079071,51.20819091796875,987.793212890625,0.05000000074505806,inf,12.177312850952148,0.781386137008667,1.7983890771865845,1.4453858137130737,12.177313804626465,14.06137752532959,209.37686157226562
6143.6572582907975,22.0,255.42871662601829,960,9.999999747378752e-05,1.8509060144424438,0.949999988079071,54.83589172363281,1061.5504150390625,0.05000000074505806,inf,7.635930061340332,0.7704339027404785,1.7542301416397095,1.24897038936615,7.635930061340332,10.34116268157959,119.38822174072266
6400.0879205632955,23.0,256.430662272498,1000,9.999999747378752e-05,1.8201780319213867,0.949999988079071,63.55929946899414,1236.6026611328125,0.05000000074505806,inf,4.172534465789795,0.771817147731781,1.732722520828247,1.0478973388671875,4.172534465789795,6.293420314788818,50.52895736694336
6656.806913480163,24.0,256.71899291686714,1040,9.999999747378752e-05,1.7682114839553833,0.949999988079071,68.58601379394531,1338.124267578125,0.05000000074505806,inf,3.353482246398926,0.7355088591575623,1.6106102466583252,0.9630980491638184,3.3534820079803467,5.28729248046875,36.468048095703125
6912.4057498164475,25.0,255.59883633628488,1080,9.999999747378752e-05,1.6498035192489624,0.949999988079071,69.89167022705078,1366.4873046875,0.05000000074505806,inf,3.661968946456909,0.7119170427322388,1.525323510169983,0.9657150506973267,3.661968946456909,5.787878513336182,44.25823211669922
7168.362475614995,26.0,255.95672579854727,1120,9.999999747378752e-05,1.5623137950897217,0.949999988079071,69.34246063232422,1357.1654052734375,0.05000000074505806,inf,3.3261337280273438,0.6709548830986023,1.414852499961853,0.900455892086029,3.3261337280273438,5.260974407196045,39.64047622680664
7424.819310592487,27.0,256.4568349774927,1160,9.999999747378752e-05,1.4803422689437866,0.949999988079071,70.3149642944336,1378.1727294921875,0.05000000074505806,inf,3.0964102745056152,0.6413055658340454,1.3204988241195679,0.8743403553962708,3.0964105129241943,5.302001953125,36.83872985839844
7680.666784226894,28.0,255.84747363440692,1200,9.999999747378752e-05,1.419806957244873,0.949999988079071,510.5418701171875,10183.8603515625,0.05000000074505806,inf,523.219482421875,0.6407284736633301,1.3050764799118042,5.714180946350098,523.2195434570312,102.10977935791016,10439.59375
7939.060854585841,29.0,258.3940703589469,1240,9.999999747378752e-05,1.380354881286621,0.949999988079071,278.1320495605469,5536.41455078125,0.05000000074505806,inf,10.277708053588867,0.6296104788780212,1.2630770206451416,1.2538275718688965,10.277708053588867,13.11395263671875,181.55567932128906
8194.843318184838,30.0,255.7824635989964,1280,9.999999747378752e-05,1.3685554265975952,0.25,3916.72412109375,5221.84326171875,0.75,inf,4.048232078552246,0.6394513249397278,1.2790592908859253,5.320864677429199,42.816650390625,6.881335735321045,56.66251754760742
8450.388281416148,31.0,255.54496323131025,1320,9.999999747378752e-05,1.4009047746658325,0.25,3719.06201171875,4958.28173828125,0.75,inf,62.31520080566406,0.6528257727622986,1.3082808256149292,26.246702194213867,916.412109375,34.777992248535156,1221.4466552734375
8706.316935798153,32.0,255.92865438200533,1360,9.999999747378752e-05,2.6447317600250244,0.25,3195.923583984375,4260.35009765625,0.75,inf,914.3639526367188,1.1822222471237183,2.5848560333251953,101.4847640991211,13679.2724609375,134.9189453125,18238.166015625
8962.765797534958,33.0,256.44886173680425,1400,9.999999747378752e-05,1.9243245124816895,0.25,5167.6298828125,6889.53173828125,0.75,inf,287.0577087402344,0.7590547800064087,1.5498055219650269,56.801239013671875,4284.16796875,75.48197174072266,5711.70751953125
9220.655283266678,34.0,257.8894857317209,1440,9.999999747378752e-05,1.6038317680358887,0.25,2545.14404296875,3392.990966796875,0.75,inf,19.502477645874023,0.7333902716636658,1.4882699251174927,14.193679809570312,271.7013854980469,18.680444717407227,361.7724304199219
9476.580639712512,35.0,255.92535644583404,1480,9.999999747378752e-05,1.5066425800323486,0.25,6113.66162109375,8151.04638671875,0.75,inf,7.683363914489746,0.69466632604599,1.4110597372055054,8.340774536132812,95.49561309814453,10.889477729797363,126.85713195800781
9732.013997824863,36.0,255.4333581123501,1520,9.999999747378752e-05,1.4755059480667114,0.25,5747.0458984375,7662.23583984375,0.75,inf,35.76753234863281,0.6914829611778259,1.4082722663879395,19.623266220092773,516.7971801757812,25.933862686157227,688.5934448242188
9987.56725538522,37.0,255.55325756035745,1560,9.999999747378752e-05,1.4930437803268433,0.25,5391.85888671875,7188.64794921875,0.75,inf,83.5703353881836,0.7063658237457275,1.4536302089691162,30.476245880126953,1233.2042236328125,40.3995361328125,1643.7877197265625
10242.513370074332,38.0,254.9461146891117,1600,9.999999747378752e-05,1.5263476371765137,0.25,5401.54248046875,7201.5478515625,0.75,inf,153.7282257080078,0.7186328172683716,1.487687110900879,41.488922119140625,2285.095458984375,55.079017639160156,3046.29833984375
10497.655164007097,39.0,255.14179393276572,1640,9.999999747378752e-05,1.5517200231552124,0.25,5735.5654296875,7646.90283203125,0.75,inf,246.21490478515625,0.7168101668357849,1.4881752729415894,52.57817459106445,3672.388671875,69.86529541015625,4896.0224609375
10753.480118921027,40.0,255.8249549139291,1680,9.999999747378752e-05,1.6734387874603271,0.25,6284.6123046875,8378.92578125,0.75,inf,314.9048767089844,0.8558050394058228,1.8204210996627808,59.416358947753906,4698.0869140625,78.93653869628906,6263.50927734375
11009.239298170432,41.0,255.75917924940586,1720,9.999999747378752e-05,1.7069125175476074,0.25,3407.159423828125,4542.31005859375,0.75,inf,65.55364990234375,0.7379230856895447,1.5145183801651,26.871234893798828,962.1015625,35.58233642578125,1282.2972412109375
11264.825077649206,42.0,255.58577947877347,1760,9.999999747378752e-05,1.5946861505508423,0.25,3252.97802734375,4336.7724609375,0.75,inf,13.122912406921387,0.7436012625694275,1.5273112058639526,11.348871231079102,175.46131896972656,14.883959770202637,233.4393310546875
